model,features,thetas,alpha,max_iter,lambda,f1_score
66,"w,w2,w3,h,h2,h3,d,d2,d3","0.24604161991066434,0.03383446075686852,0.12021128962252693,0.07698254939440675,0.0934281639875828,0.035769060454635127,-0.029697478739375005,0.21382395972014767,-0.03683380689131064,-0.15584344272301234",0.1,500000,0.8,2.2214285714285715
67,"w,w2,w3,h,h2,h3,d,d2,d3","0.243576829937815,-0.04904141170782046,-0.04099121941096149,-0.04657445045828175,-0.057461083306743696,0.049276590894035306,0.13697410423204828,-0.28912428135244084,-0.05868159811078406,0.14816433303532095",0.1,500000,0.8,2.2214285714285715
68,"w,w2,w3,h,h2,h3,d,d2,d3","0.27855840022541856,0.051429482534985714,-0.07180856991116844,-0.08105189827397571,-0.21642056497336504,-0.04939454159005342,0.10883636421952378,0.2802268390769713,-0.0019040658510797535,-0.2804092005987757",0.1,500000,1.0,2.2214285714285715
69,"w,w2,w3,h,h2,h3,d,d2,d3","0.23183292961843877,-0.04233820539912726,0.00206922488603915,0.04733846432205002,0.17461304817719098,-0.033861573147436805,-0.2119891870843872,-0.203416322283305,0.09017716632517221,0.2940191997605725",0.1,500000,1.0,2.2214285714285715
70,"w,w2,w3,h,h2,h3,d,d2,d3","0.24634832981984714,0.03999752632388114,0.11176932488434542,0.07968310476763715,0.08571412243408764,0.03514549532672695,-0.02151672622944761,0.1983140778346585,-0.029449617525809015,-0.14686764142251585",0.1,500000,1.0,2.2214285714285715
71,"w,w2,w3,h,h2,h3,d,d2,d3","0.2432603403362958,-0.04908880345974417,-0.042029979859207256,-0.04596967081571603,-0.043906605637919045,0.04811061941076386,0.12466954909431609,-0.2751245946283096,-0.058823482948306235,0.13325764226072706",0.1,500000,1.0,2.2214285714285715
9999,"w,h,d","0.28401334063419553,-0.08726092133801204,-0.1597609116557197,0.03360833557443497",0.1,500000,0.0,3.3055555555555554
9999,"w,h,d","0.22324287600764003,-0.008358972370197747,-0.06886901755902096,0.14156193523924213",0.1,500000,0.0,3.3055555555555554
9999,"w,h,d","0.2529119703506308,0.23690500542322732,0.10299713683811859,0.041078140163688825",0.1,500000,0.0,3.3055555555555554
9999,"w,h,d","0.2398318130075344,-0.1412851117150173,0.12563279237662264,-0.21624841097736522",0.1,500000,0.0,3.3055555555555554
